temperature,fraction_melted
77.0621,1.0000
77.7269,0.9991
78.3363,0.9988
78.9457,0.9979
79.5550,0.9965
80.1645,0.9947
80.7739,0.9399
81.3831,0.8561
81.8804,0.7785
82.1190,0.6795
82.3393,0.5858
82.5059,0.4916
82.6624,0.3797
82.8346,0.2666
82.9515,0.1850
83.0963,0.1011
83.2518,0.0257
83.4811,0.0095
83.8768,0.0083
84.4859,0.0067
85.0953,0.0063
85.7046,0.0054
86.3140,0.0038
86.9234,0.0013
