temperature,fraction_melted
79.6518,0.0000
79.9217,0.0116
80.1916,0.0245
80.4615,0.0367
80.7312,0.0637
81.0011,0.0766
81.2710,0.0836
81.5409,0.0988
81.8107,0.1217
82.0806,0.1331
82.3504,0.1524
82.6203,0.1667
82.8902,0.1731
83.1600,0.1898
83.3906,0.2244
83.6587,0.2378
83.9285,0.2637
84.1855,0.3046
84.3997,0.3388
84.6078,0.3902
84.7822,0.4600
84.9956,0.5180
85.2091,0.5908
85.3500,0.6654
85.5637,0.7500
85.7702,0.8357
86.0101,0.8943
86.2109,0.9355
86.4758,0.9735
86.7457,0.9797
87.0157,0.9839
87.2867,0.9876
87.5556,0.9892
87.8255,0.9898
88.0954,0.9972
88.3655,0.9853
88.6354,0.9986
88.9054,0.9854
89.1753,0.9964
