temperature,fraction_melted
79.6764,0.0000
79.9462,0.0216
80.2162,0.0259
80.4861,0.0354
80.7560,0.0451
81.0259,0.0515
81.2957,0.0642
81.5656,0.0829
81.8354,0.0983
82.1053,0.1143
82.3751,0.1306
82.6450,0.1442
82.9149,0.1498
83.1848,0.1570
83.4547,0.1693
83.7245,0.1988
83.9943,0.2095
84.2642,0.2268
84.5339,0.2590
84.8036,0.2967
85.0732,0.3462
85.3428,0.3995
85.5370,0.4680
85.7467,0.5371
85.9549,0.6058
86.0990,0.6811
86.2885,0.7595
86.5079,0.8275
86.7538,0.9039
87.0242,0.9366
87.2940,0.9518
87.5639,0.9613
87.8338,0.9706
88.1036,0.9888
88.3736,0.9860
88.6436,0.9826
88.9136,0.9832
89.1835,0.9826
89.4535,0.9863
