T,F_normalized
69.5,0.0006106315380395850
69.6,0.000043942973103708200
69.7,0
69.8,0.0005951421817946200
69.9,0.0022009012066360800
70.0,0.005450395262059710
70.1,0.010768224630581500
70.2,0.018154573463400200
70.3,0.0273606528093044
70.4,0.03812565789038170
70.5,0.050405105045452200
70.6,0.06453015001982530
70.7,0.08123379350900390
70.8,0.10220582485399800
70.9,0.12959645490876000
71.0,0.15817106510956500
71.1,0.18215364258917100
71.2,0.2060773822367250
71.3,0.23710114833473100
71.4,0.277441106204282
71.5,0.3259865710719870
71.6,0.3813415503989720
71.7,0.436588730781889
71.8,0.4842450198770230
71.9,0.5239848421073240
72.0,0.5587120593939350
72.1,0.5894247905796940
72.2,0.6140123279144660
72.3,0.6320635266551800
72.4,0.6477742470456130
72.5,0.666764787562243
72.6,0.6895299395468450
72.7,0.7094078621851410
72.8,0.7236257465818060
72.9,0.7370337869005220
73.0,0.7538700659610880
73.1,0.7722742532625500
73.2,0.7874079625390000
73.3,0.7993277996079580
73.4,0.8114201197901650
73.5,0.8255329395092000
73.6,0.8411015129609550
73.7,0.8570748048714510
73.8,0.8727663527772760
73.9,0.8866178591455560
74.0,0.8975856038457540
74.1,0.9067849735223750
74.2,0.916252018485189
74.3,0.9276289017804580
74.4,0.9411190435750370
74.5,0.9555706692661730
74.6,0.9696285220415640
74.7,0.9819317521653580
74.8,0.9912918099267040
74.9,0.9971384839456060
75.0,1
